breed,origin,url,img,height,weight,coat,life_span,other_names,common_nicknames,colour,litter_size,notes,breed_status,foundation_stock,img_src_set.1.5x,img_src_set.2x,height.dogs,weight.dogs,height.bitches,weight.bitches,img_src_set
Entlebucher Mountain Dog,Switzerland,https://en.wikipedia.org/wiki/Entlebucher_Mountain_Dog,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Elio_v_Schaerlig_im_Juni_2007_klein.jpg/220px-Elio_v_Schaerlig_im_Juni_2007_klein.jpg,Not available,Not available,Not available,Not available,Entelbuch Mountain DogEntelbucher Cattle DogEntlebucherBouvier de l'Entlebuch,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Elio_v_Schaerlig_im_Juni_2007_klein.jpg/330px-Elio_v_Schaerlig_im_Juni_2007_klein.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Elio_v_Schaerlig_im_Juni_2007_klein.jpg/440px-Elio_v_Schaerlig_im_Juni_2007_klein.jpg,,,,,
Estonian Hound,Estonia,https://en.wikipedia.org/wiki/Estonian_Hound,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Go%C5%84czy_esto%C5%84ski_MB_01.jpg/220px-Go%C5%84czy_esto%C5%84ski_MB_01.jpg,,Not available,"short, smooth, shiny",Not available,"Eesti Hagijas, Chien Courant d'Estonie, Estnische Bracke, Sabueso de Estonia",Not available,"tricolor (white with black and red markings),bicolor (white and yellow or white and red)",Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Go%C5%84czy_esto%C5%84ski_MB_01.jpg/330px-Go%C5%84czy_esto%C5%84ski_MB_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Go%C5%84czy_esto%C5%84ski_MB_01.jpg/440px-Go%C5%84czy_esto%C5%84ski_MB_01.jpg,45–52 cm (18–20 in),,42–49 cm (17–19 in),,
Eurasier,Germany,https://en.wikipedia.org/wiki/Eurasier,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Eurasier_BailyWtatze.jpg/220px-Eurasier_BailyWtatze.jpg,,,"Long, thick double coat.",Not available,EurasianEurasian Dog,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Eurasier_BailyWtatze.jpg/330px-Eurasier_BailyWtatze.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Eurasier_BailyWtatze.jpg/440px-Eurasier_BailyWtatze.jpg,52–60 cm (20–24 in),23–32 kg (51–71 lb),48–56 cm (19–22 in),18–26 kg (40–57 lb),
Field Spaniel,England,https://en.wikipedia.org/wiki/Field_Spaniel,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Field_spaniel_581.jpg/220px-Field_spaniel_581.jpg,40–48 centimetres (16–19 in),16–27 kilograms (35–60 lb),Not available,Not available,Not available,Field,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Field_spaniel_581.jpg/330px-Field_spaniel_581.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Field_spaniel_581.jpg/440px-Field_spaniel_581.jpg,,,,,
Fila Brasileiro,Brazil,https://en.wikipedia.org/wiki/Fila_Brasileiro,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Fila_brasileiro_ppk9.jpg/220px-Fila_brasileiro_ppk9.jpg,,,Short,Not available,Brazilian Mastiff Onceiro (Jaguar Hound) Cabeçudo (Big-headed) Black Mouth,Not available,"Brindle, fawn, black",Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Fila_brasileiro_ppk9.jpg/330px-Fila_brasileiro_ppk9.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Fila_brasileiro_ppk9.jpg/440px-Fila_brasileiro_ppk9.jpg,65–75 cm (26–30 in),more than 50 kg (110 lb),60–70 cm (24–28 in),more than 40 kg (88 lb),
Finnish Hound,Finland,https://en.wikipedia.org/wiki/Finnish_Hound,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Finnish_Hound.jpg/220px-Finnish_Hound.jpg,Not available,Not available,Not available,Not available,"Suomenajokoira, Finnish Bracke",Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Finnish_Hound.jpg/330px-Finnish_Hound.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Finnish_Hound.jpg/440px-Finnish_Hound.jpg,,,,,
Finnish Lapphund,,https://en.wikipedia.org/wiki/Finnish_Lapphund,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Finnish_Lapphund_Glenchess_Revontuli.jpg/220px-Finnish_Lapphund_Glenchess_Revontuli.jpg,Not available,Not available,Not available,Not available,Finnish Lapponian Dog (FCI name)LapinkoiraSuomenlapinkoira,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Finnish_Lapphund_Glenchess_Revontuli.jpg/330px-Finnish_Lapphund_Glenchess_Revontuli.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Finnish_Lapphund_Glenchess_Revontuli.jpg/440px-Finnish_Lapphund_Glenchess_Revontuli.jpg,,,,,
Finnish Spitz,Finland,https://en.wikipedia.org/wiki/Finnish_Spitz,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Finnish_Spitz_600.jpg/220px-Finnish_Spitz_600.jpg,,12 to 13 kg (26 to 29 lb),Double,Not available,Finnish Hunting DogFinnish SpetsFinsk SpetsLoulou Finoissuomalainen pystykorvasuomenpystykorva,Not available,Not available,Not available,National dog of Finland,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Finnish_Spitz_600.jpg/330px-Finnish_Spitz_600.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Finnish_Spitz_600.jpg/440px-Finnish_Spitz_600.jpg,44 to 50 cm (17 to 20 in),,39 to 45 cm (15 to 18 in),,
Flat-Coated Retriever,England,https://en.wikipedia.org/wiki/Flat-coated_Retriever,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Flat_Coated_Retriever_-_black.jpg/220px-Flat_Coated_Retriever_-_black.jpg,,,Glossy and smooth,Not available,Not available,"Flatcoat, FlattieFlatte (Sweden), flatt (Sweden)","Black, liver",Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Flat_Coated_Retriever_-_black.jpg/330px-Flat_Coated_Retriever_-_black.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Flat_Coated_Retriever_-_black.jpg/440px-Flat_Coated_Retriever_-_black.jpg,59–61.5 cm (23.2–24.2 in),27–36 kg (60–79 lb),56.5–59 cm (22.2–23.2 in),25–32 kg (55–71 lb),
French Spaniel,France and Canada,https://en.wikipedia.org/wiki/French_Spaniel,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/04031137_Epagneul_Francais.jpg/220px-04031137_Epagneul_Francais.jpg,,Not available,"Straight, or slightly wavy and of medium length.",Not available,Epagneul Français  French Setter  Canadian Setter,Not available,White with brown markings,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/04031137_Epagneul_Francais.jpg/330px-04031137_Epagneul_Francais.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/04031137_Epagneul_Francais.jpg/440px-04031137_Epagneul_Francais.jpg,55–63 cm (22–25 in),,54–61 cm (21–24 in),,
Galgo Español,Spain,https://en.wikipedia.org/wiki/Galgo_Espa%C3%B1ol,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Galgo-Espanol.jpg/220px-Galgo-Espanol.jpg,,,Smooth or Rough,Not available,Spanish GalgoSpanish greyhound,Galgo,Any,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Galgo-Espanol.jpg/330px-Galgo-Espanol.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Galgo-Espanol.jpg/440px-Galgo-Espanol.jpg,26 in (66 cm),60–65 lb (27–29 kg),25 in (64 cm),50–55 lb (23–25 kg),
Garafian Shepherd,Canary Islands (Spain),https://en.wikipedia.org/wiki/Garafian_Shepherd,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Ch-Rasti.jpg/250px-Ch-Rasti.jpg,Not available,Not available,Not available,Not available,Garafian ShepherdPastor de Garafía,Not available,Not available,Not available,Recognised in Spanish legislation,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Ch-Rasti.jpg/375px-Ch-Rasti.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Ch-Rasti.jpg/500px-Ch-Rasti.jpg,,,,,
Gascon Saintongeois,France,https://en.wikipedia.org/wiki/Gascon_Saintongeois,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Virelade_from_1915.JPG/220px-Virelade_from_1915.JPG,Not available,Not available,Not available,Not available,Not available,Virelade Hound,Not available,Not available,"Two varieties of one breed, Grand (large) and Petit (smaller)",Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Virelade_from_1915.JPG/330px-Virelade_from_1915.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Virelade_from_1915.JPG/440px-Virelade_from_1915.JPG,,,,,
Georgian Shepherd,Georgia,https://en.wikipedia.org/wiki/Georgian_Shepherd,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Georgia_Shepherd.jpg/220px-Georgia_Shepherd.jpg,,,Thick double coat—thick undercoat,Not available,Georgian Mountain Dog,Qartuli Nagazi or Nagazi,Not available,Not available,National animal of Georgia.,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/0/0d/Georgia_Shepherd.jpg,,minimum 65 cm (26 in),50 kilograms (110 lb),minimum 60 cm (24 in),,
German Hound,Germany,https://en.wikipedia.org/wiki/German_Hound,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/German_Hound_from_1915.JPG/220px-German_Hound_from_1915.JPG,Not available,Not available,Not available,Not available,"Deutsche Bracke, German Bracke, Olper Bracke, Westphalian Bracke",Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/0/0f/German_Hound_from_1915.JPG,,,,,,
German Longhaired Pointer,Germany,https://en.wikipedia.org/wiki/German_Longhaired_Pointer,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/DeutschLanghaarneu.jpg/220px-DeutschLanghaarneu.jpg,,30 kg (66 lb),Medium Length,Not available,Deutscher Langhaariger  Deutscher Langhaariger Vorstehhund  Pointer (German Longhaired)  Langhaar,GLP,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/DeutschLanghaarneu.jpg/330px-DeutschLanghaarneu.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/DeutschLanghaarneu.jpg/440px-DeutschLanghaarneu.jpg,60–70 cm (24–28 in),,58–66 cm (23–26 in),,
German Pinscher,Germany,https://en.wikipedia.org/wiki/German_Pinscher,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Bvdb-duitse_pincher.jpg/220px-Bvdb-duitse_pincher.jpg,Not available,Not available,Not available,Not available,Deutscher Pinscher,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Bvdb-duitse_pincher.jpg/330px-Bvdb-duitse_pincher.jpg,https://upload.wikimedia.org/wikipedia/commons/8/84/Bvdb-duitse_pincher.jpg,,,,,
German Roughhaired Pointer,Germany,https://en.wikipedia.org/wiki/German_Roughhaired_Pointer,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/03030288_Deutsch_Stichelhaa.jpg/220px-03030288_Deutsch_Stichelhaa.jpg,,Not available,"Stiff, harsh and bristly",Not available,Deutscher Stichelhaariger VorstehhundStaufhaarigHessischen RauhbartGerman Broken-Coated Pointer,Stichelhaar,"Brown, brown roan or light roan, with or without white chest patch and brown patches",Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/03030288_Deutsch_Stichelhaa.jpg/330px-03030288_Deutsch_Stichelhaa.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/03030288_Deutsch_Stichelhaa.jpg/440px-03030288_Deutsch_Stichelhaa.jpg,60–70 cm (24–28 in),,58–68 cm (23–27 in),,
German Shepherd Dog,Germany,https://en.wikipedia.org/wiki/German_Shepherd,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/German_Shepherd_-_DSC_0346_%2810096362833%29.jpg/220px-German_Shepherd_-_DSC_0346_%2810096362833%29.jpg,,,Double coat,Not available,AlsatianGerman Shepherd DogBerger AllemandDeutscher Schäferhund,DSH GSD Shepherd Schäferhund,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/German_Shepherd_-_DSC_0346_%2810096362833%29.jpg/330px-German_Shepherd_-_DSC_0346_%2810096362833%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/German_Shepherd_-_DSC_0346_%2810096362833%29.jpg/440px-German_Shepherd_-_DSC_0346_%2810096362833%29.jpg,60–65 cm (24–26 in),30–40 kg (66–88 lb),55–60 cm (22–24 in),22–32 kg (49–71 lb),
German Shorthaired Pointer,Germany,https://en.wikipedia.org/wiki/German_Shorthaired_Pointer,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Duitse_staande_korthaar_10-10-2.jpg/220px-Duitse_staande_korthaar_10-10-2.jpg,Not available,Not available,Not available,Not available,Deutscher kurzhaariger VorstehhundDeutsch KurzhaarKurzhaar,GSPDK,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Duitse_staande_korthaar_10-10-2.jpg/330px-Duitse_staande_korthaar_10-10-2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Duitse_staande_korthaar_10-10-2.jpg/440px-Duitse_staande_korthaar_10-10-2.jpg,,,,,
German Spaniel,Germany,https://en.wikipedia.org/wiki/German_Spaniel,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Plochacz_niemiecki_2_pl.jpg/220px-Plochacz_niemiecki_2_pl.jpg,,18–25 kg (40–55 lb),Mostly wavy,Not available,Deutscher Wachtelhund  Deutscher Wachtel  German Quail Dog,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Plochacz_niemiecki_2_pl.jpg/330px-Plochacz_niemiecki_2_pl.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Plochacz_niemiecki_2_pl.jpg/440px-Plochacz_niemiecki_2_pl.jpg,48–54 cm (19–21 in),,45–52 cm (18–20 in),,
German Wirehaired Pointer,Germany,https://en.wikipedia.org/wiki/German_Wirehaired_Pointer,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/GermanWirehrPtr1_wb.jpg/220px-GermanWirehrPtr1_wb.jpg,Not available,Not available,Not available,Not available,Deutsch DrahthaarDeutscher Drahthaariger VorstehhundDrahthaar,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/GermanWirehrPtr1_wb.jpg/330px-GermanWirehrPtr1_wb.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/GermanWirehrPtr1_wb.jpg/440px-GermanWirehrPtr1_wb.jpg,,,,,
Giant Schnauzer,Germany,https://en.wikipedia.org/wiki/Giant_Schnauzer,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/GiantSchnauzer.jpg/220px-GiantSchnauzer.jpg,,35–47 kg (77–104 lb),"Dense, wiry",Not available,Munich SchnauzerMunchenerRussian Bear Schnauzer,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/GiantSchnauzer.jpg/330px-GiantSchnauzer.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/GiantSchnauzer.jpg/440px-GiantSchnauzer.jpg,65–70 cm (25.5–27.5 in),,60–65 cm (23.5–25.5 in),,
Golden Retriever,Scotland,https://en.wikipedia.org/wiki/Golden_Retriever,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Golden_Retriever_Dukedestiny01_drvd.jpg/220px-Golden_Retriever_Dukedestiny01_drvd.jpg,,55–75 lb (25–34 kg),"Flat or wavy double coat with good feathering, dense water-resistant undercoat",Not available,"Flat-coated Retriever, GoldenYellow or Golden Retriever",Not available,Any shade of gold or cream,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Golden_Retriever_Dukedestiny01_drvd.jpg/330px-Golden_Retriever_Dukedestiny01_drvd.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Golden_Retriever_Dukedestiny01_drvd.jpg/440px-Golden_Retriever_Dukedestiny01_drvd.jpg,22–24 in (56–61 cm),,20–22 in (51–56 cm),,
Gończy Polski,Poland,https://en.wikipedia.org/wiki/Go%C5%84czy_Polski,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/PolishScenthound-%22NUTKA_Klusujaca_Sfora_wl_A.Balcerzak.jpg/220px-PolishScenthound-%22NUTKA_Klusujaca_Sfora_wl_A.Balcerzak.jpg,,22–26 kg (49–57 lb),Short,Not available,Polish Hunting Dog,Not available,"Black and tan, brown and tan or red.",Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/PolishScenthound-%22NUTKA_Klusujaca_Sfora_wl_A.Balcerzak.jpg/330px-PolishScenthound-%22NUTKA_Klusujaca_Sfora_wl_A.Balcerzak.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fb/PolishScenthound-%22NUTKA_Klusujaca_Sfora_wl_A.Balcerzak.jpg,55–59 cm (22–23 in),,50–55 cm (20–22 in),,
Gordon Setter,Scotland,https://en.wikipedia.org/wiki/Gordon_Setter,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Orrvilas_enska_w800px.jpg/220px-Orrvilas_enska_w800px.jpg,,,"Soft and shining, straight or slightly wave",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Orrvilas_enska_w800px.jpg/330px-Orrvilas_enska_w800px.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Orrvilas_enska_w800px.jpg/440px-Orrvilas_enska_w800px.jpg,24–27 in (61–69 cm),55–80 lb (25–36 kg),23–26 in (58–66 cm),45–70 lb (20–32 kg),
Grand Anglo-Français Blanc et Noir,France,https://en.wikipedia.org/wiki/Grand_Anglo-Fran%C3%A7ais_Blanc_et_Noir,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Grand_anglo_francais_noir.jpg/220px-Grand_anglo_francais_noir.jpg,Not available,Not available,Not available,Not available,Grand Anglo-Francais Tricolore,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Grand_anglo_francais_noir.jpg/330px-Grand_anglo_francais_noir.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Grand_anglo_francais_noir.jpg/440px-Grand_anglo_francais_noir.jpg,,,,,
Grand Anglo-Français Blanc et Orange,France,https://en.wikipedia.org/wiki/Grand_Anglo-Fran%C3%A7ais_Blanc_et_Orange,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/06101298_Grand_anglo_francais_orange.jpg/220px-06101298_Grand_anglo_francais_orange.jpg,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/06101298_Grand_anglo_francais_orange.jpg/330px-06101298_Grand_anglo_francais_orange.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/06101298_Grand_anglo_francais_orange.jpg/440px-06101298_Grand_anglo_francais_orange.jpg,,,,,
Grand Basset Griffon Vendéen,France,https://en.wikipedia.org/wiki/Grand_Basset_Griffon_Vend%C3%A9en,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/P_Basset_Griffon_Vendeen_600.jpg/220px-P_Basset_Griffon_Vendeen_600.jpg,,Not available,"Hard, not too long and flat, never silky or woolly.",Not available,"Basset Griffon Vendéen (Petite), PBGV",PBGV,"White, with any combination of lemon, orange, sable, grizzle or black markings. Tricolour. Black and tan.",Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/P_Basset_Griffon_Vendeen_600.jpg/330px-P_Basset_Griffon_Vendeen_600.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/P_Basset_Griffon_Vendeen_600.jpg/440px-P_Basset_Griffon_Vendeen_600.jpg,40–44 cm (16–17 in),,39–43 cm (15–17 in),,
Grand Bleu de Gascogne,France,https://en.wikipedia.org/wiki/Grand_Bleu_de_Gascogne,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Grand_Bleu_de_Gascogne_in_a_blue_dogcollar.jpg/220px-Grand_Bleu_de_Gascogne_in_a_blue_dogcollar.jpg,,Not available,Short and thick,Not available,Not available,Not available,Mottled black and white,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Grand_Bleu_de_Gascogne_in_a_blue_dogcollar.jpg/330px-Grand_Bleu_de_Gascogne_in_a_blue_dogcollar.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Grand_Bleu_de_Gascogne_in_a_blue_dogcollar.jpg/440px-Grand_Bleu_de_Gascogne_in_a_blue_dogcollar.jpg,65–72 cm (26–28 in),,62–68 cm (24–27 in),,
